,Municipality,split,regularization,RMSE,R2
449,Lejre,Temporal,lasso,3941.161150376955,-0.658757686296189
547,Lejre,Temporal,ridge,5149.325666820478,-1.8316220201561784
124,Lemvig,80/20,lasso,628.7435973240033,0.6570568310611389
26,Lemvig,80/20,ridge,649.7511691170039,0.6337571585683353
222,Lemvig,8020,elastic,646.5169960006434,0.6373940733388339
320,Lemvig,Temporal,elastic,1116.1558484827938,-0.1345923055761293
418,Lemvig,Temporal,lasso,1113.7505047241873,-0.1297074252042709
516,Lemvig,Temporal,ridge,1084.1008876738888,-0.0703592229212817
154,Lolland,80/20,lasso,583.9811551462631,0.8159421526115453
56,Lolland,80/20,ridge,591.2905114643399,0.8113058254669672
252,Lolland,8020,elastic,577.3796125087981,0.820079950335457
350,Lolland,Temporal,elastic,1035.4879014372257,0.1260948874403544
448,Lolland,Temporal,lasso,1035.4879014372257,0.1260948874403544
546,Lolland,Temporal,ridge,1035.8699794388874,0.1254498552379042
183,Lyngby-Taarbæk,80/20,lasso,2150.361135193618,0.9410446502021208
85,Lyngby-Taarbæk,80/20,ridge,2053.617202583107,0.946230078376416
281,Lyngby-Taarbæk,8020,elastic,2158.6036796092176,0.9405918207559028
379,Lyngby-Taarbæk,Temporal,elastic,3055.1601410300527,0.4871754145106955
477,Lyngby-Taarbæk,Temporal,lasso,6193.26443046022,-1.1073667590239844
575,Lyngby-Taarbæk,Temporal,ridge,3049.70165241563,0.489006249164585
103,Læsø,80/20,lasso,2041.4131096276265,0.301876247601392
5,Læsø,80/20,ridge,2039.5215741066725,0.3031693852637963
201,Læsø,8020,elastic,2089.0820375729945,0.2688918834330813
299,Læsø,Temporal,elastic,2769.681587154317,-2.6496868564722678
397,Læsø,Temporal,lasso,2477.0132758333025,-1.9191242742604664
495,Læsø,Temporal,ridge,2548.775408932736,-2.0907156592123948
101,Mariagerfjord,80/20,lasso,785.8915848015193,0.7657621087762396
3,Mariagerfjord,80/20,ridge,787.7877388533041,0.7646304337557102
199,Mariagerfjord,8020,elastic,785.8915848015193,0.7657621087762396
297,Mariagerfjord,Temporal,elastic,1065.4164093417703,0.3017431247893453
395,Mariagerfjord,Temporal,lasso,1221.308182110702,0.0824558069087257
493,Mariagerfjord,Temporal,ridge,1049.466661783148,0.3224930546153113
149,Middelfart,80/20,lasso,1190.9314677288928,0.8692969402349299
51,Middelfart,80/20,ridge,1223.0542865596717,0.8621509805062793
247,Middelfart,8020,elastic,1180.5144596837629,0.871573444347888
345,Middelfart,Temporal,elastic,3780.165803459043,-1.0436138480853785
443,Middelfart,Temporal,lasso,3773.249882559979,-1.0361429890482785
541,Middelfart,Temporal,ridge,3866.816883568569,-1.1383773772754382
110,Morsø,80/20,lasso,1259.8262617223925,0.1208544493980732
12,Morsø,80/20,ridge,1265.5129707034644,0.1128998154831468
208,Morsø,8020,elastic,1257.4746328912804,0.1241334641781073
306,Morsø,Temporal,elastic,1146.4640375201373,0.0660313799644873
404,Morsø,Temporal,lasso,1146.3747725493188,0.0661768139828554
502,Morsø,Temporal,ridge,1187.43780518924,-0.0019202533008313
121,Norddjurs,80/20,lasso,634.9563366718747,0.7730271698887297
23,Norddjurs,80/20,ridge,636.8112086442387,0.7716991400704778
219,Norddjurs,8020,elastic,643.4346753749727,0.7669253326303269
