,Municipality,split,regularization,RMSE,R2
334,Billund,Temporal,elastic,1787.0449671389854,-0.5214383999463401
432,Billund,Temporal,lasso,1901.595244581232,-0.7227393634820105
530,Billund,Temporal,ridge,1369.5303739359929,0.1064337664196219
150,Bornholm,80/20,lasso,828.3820428737608,0.6566113143449972
52,Bornholm,80/20,ridge,799.3971220613106,0.6802211102624331
248,Bornholm,8020,elastic,826.3999613029486,0.6582526104630284
346,Bornholm,Temporal,elastic,2289.2947530827287,-2.041578135441196
444,Bornholm,Temporal,lasso,2289.2947530827287,-2.041578135441196
542,Bornholm,Temporal,ridge,2800.920580375161,-3.55299466148814
192,Brøndby,80/20,lasso,1783.5196818540985,0.889651068556589
94,Brøndby,80/20,ridge,1615.7445195815997,0.9094355607424196
290,Brøndby,8020,elastic,1488.1338829049969,0.9231761036899448
388,Brøndby,Temporal,elastic,3739.449421351267,-1.2389908516874697
486,Brøndby,Temporal,lasso,3687.5705754638057,-1.1772969990929925
584,Brøndby,Temporal,ridge,3677.696154223952,-1.1656520626764353
106,Brønderslev,80/20,lasso,785.0231645743692,0.658975982689064
8,Brønderslev,80/20,ridge,747.1640017518191,0.6910758212617785
204,Brønderslev,8020,elastic,730.0093949474891,0.7050985414320717
302,Brønderslev,Temporal,elastic,2202.9171145773244,-8.430265522680646
400,Brønderslev,Temporal,lasso,2202.9171145773244,-8.430265522680646
498,Brønderslev,Temporal,ridge,2206.7863515715017,-8.46342153745949
191,Dragør,80/20,lasso,1514.6513728236337,0.9662034457490069
93,Dragør,80/20,ridge,1695.8914881526944,0.9576314911895568
289,Dragør,8020,elastic,1718.84135397878,0.9564770177640144
387,Dragør,Temporal,elastic,6685.291429355577,-2.2142493223319204
485,Dragør,Temporal,lasso,6685.291429355577,-2.2142493223319204
583,Dragør,Temporal,ridge,2269.950845546871,0.629428701982292
171,Egedal,80/20,lasso,1132.926929357252,0.9531867557328688
73,Egedal,80/20,ridge,1052.3109403333228,0.959611929009602
269,Egedal,8020,elastic,1102.7138142026854,0.9556503118622596
367,Egedal,Temporal,elastic,5686.73985566534,-4.595979812256897
465,Egedal,Temporal,lasso,5683.312393361071,-4.589236324654372
563,Egedal,Temporal,ridge,5689.609523419204,-4.60162897329035
135,Esbjerg,80/20,lasso,800.811753780571,0.9254624286278774
37,Esbjerg,80/20,ridge,826.5862978641818,0.9205871533331438
233,Esbjerg,8020,elastic,812.5244275907515,0.9232661103144252
331,Esbjerg,Temporal,elastic,1061.943645795711,0.6610597789720505
429,Esbjerg,Temporal,lasso,1134.6500327188692,0.6130596438639303
527,Esbjerg,Temporal,ridge,1110.3853068668768,0.62943228480643
147,Faaborg-Midtfyn,80/20,lasso,667.9625603579776,0.8036728290343546
49,Faaborg-Midtfyn,80/20,ridge,710.057441949735,0.7781481093787797
245,Faaborg-Midtfyn,8020,elastic,645.1339551224779,0.8168630537368501
343,Faaborg-Midtfyn,Temporal,elastic,1487.7576768993986,-1.1642026093822446
441,Faaborg-Midtfyn,Temporal,lasso,1606.3234318612274,-1.522896914579373
539,Faaborg-Midtfyn,Temporal,ridge,1396.8058104017796,-0.9076802448604712
134,Fanø,80/20,lasso,2628.8138080383496,-0.1068120078981933
36,Fanø,80/20,ridge,2453.8998428054288,0.0355763022988536
232,Fanø,8020,elastic,2465.0986232971272,0.0267535999664717
330,Fanø,Temporal,elastic,2868.6440837837254,-0.0478151692929393
428,Fanø,Temporal,lasso,2802.8882302342336,-0.0003291050647413
526,Fanø,Temporal,ridge,2933.0789579450384,-0.0954154290652433
120,Favrskov,80/20,lasso,1069.4457846588334,0.8794515132351782
22,Favrskov,80/20,ridge,1009.0937206587952,0.8926734363558292
218,Favrskov,8020,elastic,989.159413803078,0.8968719528066514
316,Favrskov,Temporal,elastic,3802.175543720218,-2.120770719408199
414,Favrskov,Temporal,lasso,3802.175543720218,-2.120770719408199
512,Favrskov,Temporal,ridge,3854.0227460767273,-2.206461881863596
161,Faxe,80/20,lasso,1523.6908430553417,0.6622226982241982
63,Faxe,80/20,ridge,1521.6931911916286,0.6631078110182027
259,Faxe,8020,elastic,1523.3011099874743,0.6623954709998667
357,Faxe,Temporal,elastic,4715.187894550997,-2.8966446316850485
455,Faxe,Temporal,lasso,4715.187894550997,-2.8966446316850485
553,Faxe,Temporal,ridge,2773.8757380848974,-0.3485492054831887
176,Fredensborg,80/20,lasso,1626.204546569848,0.8983853743789372
78,Fredensborg,80/20,ridge,1966.351814989181,0.851430956849918
274,Fredensborg,8020,elastic,1606.1983778099038,0.900870196464454
372,Fredensborg,Temporal,elastic,1600.65402967622,0.7786927002826292
470,Fredensborg,Temporal,lasso,1672.7994562061656,0.7582933763658386
568,Fredensborg,Temporal,ridge,2154.6209209549093,0.5990016926374575
130,Fredericia,80/20,lasso,524.3779453972452,0.9498806579830344
32,Fredericia,80/20,ridge,546.2256170788457,0.9456173140395564
228,Fredericia,8020,elastic,532.3406582037733,0.9483469702954184
326,Fredericia,Temporal,elastic,3992.403756185845,-25.459398967300988
424,Fredericia,Temporal,lasso,4042.976508573408,-26.1339799416312
522,Fredericia,Temporal,ridge,3434.179816224781,-18.577495220765297
194,Frederiksberg,80/20,lasso,2579.4277119112385,0.9642289612585287
96,Frederiksberg,80/20,ridge,2565.9189922708574,0.964602653138567
292,Frederiksberg,8020,elastic,2694.8861827945816,0.960954976877764
390,Frederiksberg,Temporal,elastic,7529.02600987115,-0.7163595613832905
488,Frederiksberg,Temporal,lasso,15395.673796287714,-6.176754332403825
586,Frederiksberg,Temporal,ridge,11678.821438788878,-3.129797106205621
105,Frederikshavn,80/20,lasso,564.8863077461251,0.8449942417003229
7,Frederikshavn,80/20,ridge,663.3201356015841,0.786266746027611
203,Frederikshavn,8020,elastic,564.8863077461251,0.8449942417003229
301,Frederikshavn,Temporal,elastic,1210.0150854334609,0.1429371770423911
399,Frederikshavn,Temporal,lasso,1589.1377986135697,-0.4782714960937697
497,Frederikshavn,Temporal,ridge,1307.1156707185066,-0.0001361615203807
170,Frederikssund,80/20,lasso,1237.5044413739454,0.9170998769424376
72,Frederikssund,80/20,ridge,1235.894049458819,0.9173154960854872
268,Frederikssund,8020,elastic,1174.028237644411,0.9253862740007702
366,Frederikssund,Temporal,elastic,5870.696329963032,-3.662917325752941
464,Frederikssund,Temporal,lasso,5561.967010074041,-3.1853839028028856
562,Frederikssund,Temporal,ridge,4505.410662906985,-1.7462953881343126
178,Furesø,80/20,lasso,1731.0580926194084,0.9329656820756352
80,Furesø,80/20,ridge,1858.6628628272945,0.9227185694481904
276,Furesø,8020,elastic,1750.5469381391065,0.9314477947874572
374,Furesø,Temporal,elastic,7513.810121720978,-8.41235878035131
472,Furesø,Temporal,lasso,7477.418245983392,-8.321405220397478
570,Furesø,Temporal,ridge,1185.8228045618434,0.7655675980464449
190,Gentofte,80/20,lasso,2401.5489732135475,0.9585067835078516
92,Gentofte,80/20,ridge,2698.598289717736,0.9476073109838028
288,Gentofte,8020,elastic,2318.5180691582,0.9613263487043532
386,Gentofte,Temporal,elastic,6976.118257816893,-0.3870853486312406
484,Gentofte,Temporal,lasso,6976.118257816893,-0.3870853486312406
582,Gentofte,Temporal,ridge,7021.791172699809,-0.4053074066476401
189,Gladsaxe,80/20,lasso,2123.274917311904,0.9250833960279408
91,Gladsaxe,80/20,ridge,2071.980821497314,0.9286593460660094
287,Gladsaxe,8020,elastic,2123.274917311904,0.9250833960279408
385,Gladsaxe,Temporal,elastic,3827.187169509412,0.0951932523230355
483,Gladsaxe,Temporal,lasso,4268.518529578696,-0.1255136560432961
581,Gladsaxe,Temporal,ridge,4002.222951539248,0.0105383118124494
188,Glostrup,80/20,lasso,1693.0559919062057,0.934190521650389
90,Glostrup,80/20,ridge,1545.5407210355827,0.9451588301694452
286,Glostrup,8020,elastic,1715.1818961304496,0.9324592040891232
384,Glostrup,Temporal,elastic,7084.469055917549,-4.080208005073745
482,Glostrup,Temporal,lasso,7084.469055917549,-4.080208005073745
580,Glostrup,Temporal,ridge,8703.294704984664,-6.667155266999054
169,Greve,80/20,lasso,1027.9547089642551,0.9696607151752664
71,Greve,80/20,ridge,1267.5431852714628,0.953870058076555
267,Greve,8020,elastic,1034.5229979960636,0.96927176058899
365,Greve,Temporal,elastic,2246.9417065051266,0.4448474757574975
463,Greve,Temporal,lasso,2821.044007509244,0.1249186459741887
561,Greve,Temporal,ridge,2479.720493085474,0.3238638283010859
164,Gribskov,80/20,lasso,1046.7999715430274,0.9285169950395222
66,Gribskov,80/20,ridge,1197.303131370645,0.906484492907221
262,Gribskov,8020,elastic,1040.8504299120902,0.9293272406326718
360,Gribskov,Temporal,elastic,1951.6848117173456,0.2896885998756884
458,Gribskov,Temporal,lasso,1565.2349747692654,0.5431343490752236
556,Gribskov,Temporal,ridge,2632.079294039797,-0.2918954168585002
152,Guldborgsund,80/20,lasso,544.9200316350765,0.894098003052711
54,Guldborgsund,80/20,ridge,556.8763157351042,0.8893997526738443
250,Guldborgsund,8020,elastic,559.8595760522094,0.8882115781699891
348,Guldborgsund,Temporal,elastic,1866.9511735430965,-2.409430087869954
446,Guldborgsund,Temporal,lasso,1866.912343978564,-2.4092882680829373
544,Guldborgsund,Temporal,ridge,1869.232621428741,-2.417767948945768
139,Haderslev,80/20,lasso,581.1496457706572,0.8780172174139645
41,Haderslev,80/20,ridge,553.7115698159308,0.8892637588881445
237,Haderslev,8020,elastic,581.1496457706572,0.8780172174139645
335,Haderslev,Temporal,elastic,977.439738818256,0.4730863214648872
433,Haderslev,Temporal,lasso,987.3493754165831,0.4623480801051134
531,Haderslev,Temporal,ridge,920.4628681216705,0.5327255483306423
167,Halsnæs,80/20,lasso,1106.5801071115209,0.8878635933119171
69,Halsnæs,80/20,ridge,1176.7997444199357,0.8731804964237202
265,Halsnæs,8020,elastic,1201.738848875851,0.8677483436590433
363,Halsnæs,Temporal,elastic,5186.567871632601,-3.584906304628517
461,Halsnæs,Temporal,lasso,5175.8337969186405,-3.5659481801551323
559,Halsnæs,Temporal,ridge,5189.85606099029,-3.590721641266253
111,Hedensted,80/20,lasso,619.6154734528632,0.9253140610847104
13,Hedensted,80/20,ridge,630.755862591897,0.922604283124858
209,Hedensted,8020,elastic,712.392502941286,0.9012736646836588
307,Hedensted,Temporal,elastic,1646.1253383456026,-0.1896602342948306
405,Hedensted,Temporal,lasso,1809.0841240189504,-0.4368607117985854
503,Hedensted,Temporal,ridge,1838.7281280583352,-0.4843358772175599
175,Helsingør,80/20,lasso,1477.6188098872394,0.9201906348573368
77,Helsingør,80/20,ridge,774.6409530291445,0.9780653888131584
273,Helsingør,8020,elastic,1296.178860125159,0.9385871994721132
371,Helsingør,Temporal,elastic,11078.432971097664,-28.089057748381187
469,Helsingør,Temporal,lasso,10197.03090203748,-23.64452522462427
567,Helsingør,Temporal,ridge,11900.059576240674,-32.56381018453002
187,Herlev,80/20,lasso,1056.23040331636,0.9743060370642074
89,Herlev,80/20,ridge,1067.524439257059,0.9737536197117304
285,Herlev,8020,elastic,1046.8576233503625,0.974760020113004
383,Herlev,Temporal,elastic,3425.24117098678,-0.4515264748191154
481,Herlev,Temporal,lasso,12820.03496333645,-19.333918081051376
579,Herlev,Temporal,ridge,5563.839531033955,-2.8299388685002613
126,Herning,80/20,lasso,773.8750949211937,0.9022052258968956
28,Herning,80/20,ridge,707.5704577056949,0.9182451941720304
224,Herning,8020,elastic,731.5488905711837,0.9126102253778704
322,Herning,Temporal,elastic,1405.0664068681251,0.409447062046314
420,Herning,Temporal,lasso,1503.6997807834284,0.3236252192381597
518,Herning,Temporal,ridge,1470.5511070737612,0.3531175360180355
174,Hillerød,80/20,lasso,1043.1608126028718,0.9567486537982428
76,Hillerød,80/20,ridge,1112.6439293792355,0.950794969312623
272,Hillerød,8020,elastic,1077.0580981757626,0.9538920978966688
370,Hillerød,Temporal,elastic,6189.077417238806,-5.1384985893522765
468,Hillerød,Temporal,lasso,3784.6816160892663,-1.2954563106711054
566,Hillerød,Temporal,ridge,3785.079452216692,-1.2959389211199597
98,Hjørring,80/20,lasso,542.8987616978259,0.8683636658647794
0,Hjørring,80/20,ridge,569.214145648839,0.8552930313962419
196,Hjørring,8020,elastic,540.8599243462004,0.8693505206464605
294,Hjørring,Temporal,elastic,3752.7366604064855,-7.497465124204488
392,Hjørring,Temporal,lasso,4089.8396379549695,-9.092662961378547
490,Hjørring,Temporal,ridge,3030.2426974723558,-4.540488243375732
162,Holbæk,80/20,lasso,1140.284393173216,0.9119844782372312
